Cell Name/Pin, Capacitance, Direction
sky130_fd_sc_hd__a41o_4/A3,0.0045320000,input
sky130_fd_sc_hd__a41o_4/A4,0.0045400000,input
sky130_fd_sc_hd__a41o_4/B1,0.0046250000,input
sky130_fd_sc_hd__a41o_4/X,0.5877780000,output
sky130_fd_sc_hd__a41oi_1/A1,0.0022950000,input
sky130_fd_sc_hd__a41oi_1/A2,0.0023550000,input
sky130_fd_sc_hd__a41oi_1/A3,0.0023970000,input
sky130_fd_sc_hd__a41oi_1/A4,0.0024500000,input
sky130_fd_sc_hd__a41oi_1/B1,0.0023790000,input
sky130_fd_sc_hd__a41oi_1/Y,0.0695900000,output
sky130_fd_sc_hd__a41oi_2/A1,0.0043220000,input
sky130_fd_sc_hd__a41oi_2/A2,0.0043430000,input
sky130_fd_sc_hd__a41oi_2/A3,0.0045370000,input
sky130_fd_sc_hd__a41oi_2/A4,0.0045660000,input
sky130_fd_sc_hd__a41oi_2/B1,0.0045810000,input
sky130_fd_sc_hd__a41oi_2/Y,0.1300150000,output
sky130_fd_sc_hd__a41oi_4/A1,0.0085560000,input
sky130_fd_sc_hd__a41oi_4/A2,0.0085870000,input
sky130_fd_sc_hd__a41oi_4/A3,0.0085300000,input
sky130_fd_sc_hd__a41oi_4/A4,0.0087900000,input
sky130_fd_sc_hd__a41oi_4/B1,0.0086630000,input
sky130_fd_sc_hd__a41oi_4/Y,0.2041730000,output
sky130_fd_sc_hd__and2_0/A,0.0016280000,input
sky130_fd_sc_hd__and2_0/B,0.0016730000,input
sky130_fd_sc_hd__and2_0/X,0.1098730000,output
sky130_fd_sc_hd__and2_1/A,0.0014890000,input
sky130_fd_sc_hd__and2_1/B,0.0015310000,input
sky130_fd_sc_hd__and2_1/X,0.1675510000,output
sky130_fd_sc_hd__and2_2/A,0.0014780000,input
sky130_fd_sc_hd__and2_2/B,0.0015070000,input
sky130_fd_sc_hd__and2_2/X,0.3195290000,output
sky130_fd_sc_hd__and2_4/A,0.0023800000,input
sky130_fd_sc_hd__and2_4/B,0.0024960000,input
sky130_fd_sc_hd__and2_4/X,0.5712990000,output
sky130_fd_sc_hd__and2b_1/A_N,0.0015910000,input
sky130_fd_sc_hd__and2b_1/B,0.0016750000,input
sky130_fd_sc_hd__and2b_1/X,0.1785380000,output
sky130_fd_sc_hd__and2b_2/A_N,0.0015860000,input
sky130_fd_sc_hd__and2b_2/B,0.0016490000,input
sky130_fd_sc_hd__and2b_2/X,0.3259380000,output
